title,authors,publisher,url,category,ISBN
ぼっち・ざ・ろっく！ (1),はまじあき,まんがタイムKRコミックス,https://amzn.asia/d/dMk6lY2,コミック,978-4832270725
ぼっち・ざ・ろっく！ (2),はまじあき,まんがタイムKRコミックス,https://amzn.asia/d/2wG7Fr7,コミック,978-4832271708
ぼっち・ざ・ろっく！ (3),はまじあき,まんがタイムKRコミックス,https://amzn.asia/d/2GPUI6Z,コミック,978-4832272521
ぼっち・ざ・ろっく！ (4),はまじあき,まんがタイムKRコミックス,https://amzn.asia/d/i2kvXT4,コミック,978-4832273887
ぼっち・ざ・ろっく！ (5),はまじあき,まんがタイムKRコミックス,https://amzn.asia/d/20LWcRi,コミック,978-4832274198
ぼっち・ざ・ろっく！ (6),はまじあき,まんがタイムKRコミックス,https://amzn.asia/d/0uKXLTx,コミック,978-4832274778
NEW GAME! (1),得能正太郎,まんがタイムKRコミックス,https://amzn.asia/d/9kLbjMK,コミック, B00UYABOQA
NEW GAME! (2),得能正太郎,まんがタイムKRコミックス,https://amzn.asia/d/gUjMrnX,コミック, B00UYABOGK
NEW GAME! (3),得能正太郎,まんがタイムKRコミックス,https://amzn.asia/d/4RpVcOK,コミック, B01AXUE7W8
NEW GAME! (4),得能正太郎,まんがタイムKRコミックス,https://amzn.asia/d/2l7wTTW,コミック, B01IT5TZH6
NEW GAME! (5),得能正太郎,まんがタイムKRコミックス,https://amzn.asia/d/4aUkM1t,コミック, B01IT5TZIA
ドキュンサーガ (1),いとまん,KADOKAWA,https://amzn.asia/d/2wNi905,コミック,978-4046803184
ドキュンサーガ (2),いとまん,KADOKAWA,https://amzn.asia/d/gPsCY5U,コミック,978-4046803191
ドキュンサーガ (3),いとまん,KADOKAWA,https://amzn.asia/d/4ohnGqG,コミック,978-4046804624
ドキュンサーガ (4),いとまん,KADOKAWA,https://amzn.asia/d/2wNi905,コミック,978-4046811240
まんがタイムきららＭＡＸ　２０２３年１０月号,まんがタイムきららＭＡＸ編集部,芳文社; 月刊版,https://amzn.asia/d/6JP2965,コミック,B0CGHPRH24
まんがタイムきららＭＡＸ　２０２３年１１月号,まんがタイムきららＭＡＸ編集部,芳文社; 月刊版,https://amzn.asia/d/5qVpHwH,コミック,‎B0CJTD67BT
怪盗フラヌールの巡回,西尾 維新,‎講談社,https://amzn.asia/d/gTEDk5l,ライトノベル,978-4065292105
HELLO WORLD,野崎 まど,集英社,https://amzn.asia/d/ifa67fW,ライトノベル,978-4087458862
HELLO WORLD if ー勘解由小路三鈴は世界で最初の失恋をするー,伊瀬 ネキセ,ダッシュエックス文庫,https://amzn.asia/d/eI5ia8F,ライトノベル,978-4086313292
Ghaneveille -収容幻想- 【完装版】,U京都怪奇倶楽部,U京都怪奇倶楽部,https://www.melonbooks.co.jp/detail/detail.php?product_id=2087654,一般同人誌,
銃・病原菌・鉄（上）,ジャレド・ダイアモンド (著) 倉骨彰 (翻訳),草思社文庫,https://amzn.asia/d/8CejEAh,世界史,978-4794218780
銃・病原菌・鉄（下）,ジャレド・ダイアモンド (著) 倉骨彰 (翻訳),草思社文庫,https://amzn.asia/d/9gK4MF5,世界史,978-4794218797
小説 天気の子,新海 誠,角川文庫,https://amzn.asia/d/5pemtxH,ライトノベル,978-4041026403
高い城の男,フィリップ・Ｋ・ディック,ハヤカワ文庫,https://www.hayakawa-online.co.jp/product/books/10568.html,SF,9784150105686
異世界語入門 ～転生したけど日本語が通じなかった～,Fafs F. Sashimi, KADOKAWA,https://amzn.asia/d/c9SaRuF,ライトノベル,978-4040697291
絵がふつうに上手くなる本 はじめの一歩×上手い絵の技術×安定して稼ぐ秘訣,よー清水,‎SBクリエイティブ,https://amzn.asia/d/5TXu7Qs,,978-4815601799
新・明解C言語 入門編,柴田望洋,SB Creative,https://www.sbcr.jp/product/4797377026/,技術,978-4-7973-7702-6
Land of Lisp,Conrad Barski，M.D.　著 川合 史朗 訳,O’Reilly Japan,https://www.oreilly.co.jp/books/9784873115870/,技術,978-4-87311-587-0
7つの言語 7つの世界,Bruce A. Tate 著、まつもと ゆきひろ 監訳、田和 勝 訳,オーム社,https://www.ohmsha.co.jp/book/9784274068577/,技術,978-4-274-06857-7
競技プログラミングの鉄則 ~アルゴリズム力と思考力を高める77の技術~,米田 優峻,マイナビ出版,https://amzn.asia/d/fLlyIlT,技術,978-4839977504
プログラミングコンテストチャレンジブック [第2版]　～問題解決のアルゴリズム活用力とコーディングテクニックを鍛える～,秋葉 拓哉 (著) 岩田 陽一 (著) 北川 宜稔 (著),マイナビ出版,https://amzn.asia/d/aCO9S4Q,技術,B00CY9256C
CPUの創りかた,渡波 郁,マイナビ出版,https://book.mynavi.jp/manatee/books/detail/id=114368,技術,978-4839909864
編入数学徹底研究 頻出問題と過去問題の演習,桜井 基晴,金子書房,https://www.kanekoshobo.co.jp/book/b528941.html,数理,9784760892211
新・物理入門<増補改訂版>,山本 義隆,駿台文庫,https://amzn.asia/d/3L2dAhy,数理, 978-4796116183
物理のエッセンス［力学・波動］－四訂版－,浜島清利,河合出版,https://www.kawai-publishing.jp/book/?isbn=978-4-7772-1355-9,数理,978-4-7772-1355-9
入門英文問題精講 4訂版,竹岡広信,旺文社,https://www.obunsha.co.jp/product/detail/034571,英米語,9784010345719
English Grammar in Use 5th edition,Raymond Murphy,Cambridge University Press,https://amzn.asia/d/6M9XMdW,英米語,978-1108586627
